"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"5993ade3338e5176ab38b4bcdfda5d19","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"51a3915b2348c79b261d10cc9c6f52b3","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"ba03d574288216cb347a3817cfd2cfd4","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"728bb5448c535c473735e5dae85ca41e","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"d9ea61005643a4051b118703705322ae","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"30d4dc06e175ba07318a52ca145c3eff","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"8678dea077ece20287b950cd5bc66db8","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"64aca044970cf53d900ee2c1b1ad938d","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"08f4c036274c4569880bcd14e258f3f6","Bacteria"," Bacteroidetes"," [Saprospirae]"," [Saprospirales]"," Chitinophagaceae"," "," "
"84b58dde4a685bb291eb262d86785ceb","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," Cryomorphaceae"," Brumimicrobium"," "
"618f82c2e46f0ebfc2dd11285b16bec1","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," Cryomorphaceae"," Fluviicola"," "
"128e6861dfbf08ef2bf0b77b79ae8452","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," Flavobacteriaceae"," Aequorivita"," "
"e67e58513b56f7aec1179b9c9f5491f2","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," "," "
"25bcacaa20e03d23f7c38bc423c707ce","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," "," "
"7b673af04ecf62c48a3bd01bcff801c4","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," Cloacibacterium"," "
"8612a638846acf832935cb932a1f0398","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," Cloacibacterium"," "
"6893e9cfcf4ca056f62aec6f490be982","Bacteria"," Bacteroidetes"," Flavobacteriia"," Flavobacteriales"," [Weeksellaceae]"," "," "
"34244f46ca2dbc7e4f45efefd6ee8dce","Bacteria"," Bacteroidetes"," Sphingobacteriia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium"," mizutaii"
"10b890326e2b0b15509aefb95d0d6b79","Bacteria"," Bacteroidetes"," Sphingobacteriia"," Sphingobacteriales"," Sphingobacteriaceae"," Sphingobacterium"," multivorum"
"ed52f10a121caf6393ed73005fe3519b","Bacteria"," Bacteroidetes"," Sphingobacteriia"," Sphingobacteriales"," Sphingobacteriaceae"," "," "
"747eb6e9a6df7686a73009847bbc6c5f","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Hymenobacter"," "
"0d0cc0527ae5e10769a27f97c5966811","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Hymenobacter"," "
"c3988b4dd180c9c6a907dfcbcbdbfcef","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Adhaeribacter"," "
"b3df7a8eb392780ebcf3ae3d6416ee0e","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Leadbetterella"," "
"adec59dd48556578670f969792a2ff8c","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Leadbetterella"," "
"f9e3cc299c5f821e66e468c67a285915","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Dyadobacter"," "
"ebcde793488ffb6a6c083b94204de559","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," Spirosoma"," "
"2f032673defa78e4f3984f25289c4923","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," "," "
"2be0c569c28a41e77a0183ef350b43c1","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," "," "
"5cd890ab4f53256d6b1762acf5ab7c69","Bacteria"," Bacteroidetes"," Cytophagia"," Cytophagales"," Cytophagaceae"," "," "
"97e6ab5e2216bdc7d4a0ce3851789550","Bacteria"," Planctomycetes"," Planctomycetia"," Gemmatales"," Isosphaeraceae"," "," "
"918fc30207b18a308ba0cb1e5244bd45","Bacteria"," TM6"," SJA-4"," "," "," "," "
"84ec91878eb7c822ebe95a695d8adcce","Bacteria"," TM6"," SJA-4"," "," "," "," "
"5b6abc69640b2f9342656d6bd94055bb","Bacteria"," Acidobacteria"," Acidobacteriia"," Acidobacteriales"," Acidobacteriaceae",NA,NA
"747f5947c9bf8b56e76e524e5506ce8c","Bacteria"," Acidobacteria"," Acidobacteriia"," Acidobacteriales"," Acidobacteriaceae"," "," "
"1029f53d0a2094377477a99bb8fd0512","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"f6148b6faaa3fa0d66b1d3bdcc18f00a","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"b51434355503154f06edd1889445005d","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"cd0dc1d474500540d2e4a22d8887deb5","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"82acc16d8a22778262532ba70f6109e5","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"2c71286412a9c30e1bfa3609b93c3c13","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"9f601319304698ca599073283ab894d9","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"a81a1890eb28bceff79fd10fc819088d","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"6b7193ccd1ee6bbc2b110c78b9ac4517","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"4aa960370afbea1613532c07d4137a4a","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"759b69c592e4c2a267b3fb2c14178b65","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"e7dd0d9e205bdd93a0ab7348fdeb48b4","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"cfd36bc9932d5aafaa4aa991291168f4","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"1cc585194324c38ecc792fff3a199120","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"2aabc9d1e62bc0a9944992d856e3b76a","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"895196e053bf7e5d72c07b3d7b2e1bb6","Bacteria"," Tenericutes"," Mollicutes"," Mycoplasmatales"," Mycoplasmataceae"," Mycoplasma"," "
"4024eff76cdcc3751e21d9e1e7331761","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"ea9eec7cd5a31e3341a63fd8ad5abd96","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"65ab34267bf68aeb74d3cc158975973f","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"cb0423d0ab90bb184d5540adff676f4c","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"f6cd6f699f3276dec4572fda3185ebb2","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"fb4ba4f670eb3356d8cc57ee6f88933d","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"f04924d7dd558d3d665f73d8bfd2b762","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"dd60efd988358c980d338795a3f6e0b8","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"709f28061ff93701c5d360ec338e052a","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"ab7f1c165140942cb74f458dd99e1e16","Bacteria"," Tenericutes"," Mollicutes"," Entomoplasmatales"," "," "," "
"04bca9a55d4529344e97d2d28f9be43d","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Lachnospiraceae"," Catonella"," "
"6a9d9bcc7e05e5c8acb87aba4f81e66c","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Ruminococcaceae"," Ruminococcus"," "
"315a45fffc9d4c77f2a7c87b3cb8f9da","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Ruminococcaceae"," Oscillospira"," "
"47d28a83a1e0e9f4a98184bd607bca26","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," "," "," "
"c99026a091c7446e2d2931e81d44d340","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Clostridiaceae"," "," "
"e335f74033bc634af43ee6baa84fa247","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Peptostreptococcaceae"," "," "
"31e57a1ab065214bb6b49f117e3f3499","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Peptostreptococcaceae"," "," "
"0a9526e347aa20eba4e551e621560141","Bacteria"," Firmicutes"," Bacilli"," Bacillales",NA,NA,NA
"d20d300e229e77a343cac6c4a7cc0007","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," "," "
"295b4fc52bbe62488fad64135cf9b995","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Planomicrobium"," "
"9f04d4582c00cc1372a4a536aaa64d65","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Planomicrobium"," "
"308df1fb41d807a16562a9960b47db39","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"," "
"08667d4a0f17f08ab4190d2ad683f29c","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"," "
"d8047f41bd79cc400610d6eea384cf4d","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae"," Sporosarcina"," "
"feefd6f17cf3a634273a229fe173cb3f","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," "," "," "
"a8dc5aeb11a8e3f8ac305f73ed6c240e","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Planococcaceae",NA,NA
"fb466b8ed3e9b801793c7cff0ad0bfa3","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Staphylococcaceae"," Jeotgalicoccus"," "
"dfca81dbcb380068413ca7c1236e7dd1","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Staphylococcaceae"," "," "
"00f7793b9e96c3365f6a3a097c56805d","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Listeriaceae",NA,NA
"e47ccdfd1d3addb7a3a86e9afe46f335","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Carnobacteriaceae",NA,NA
"82819e0b6b0a7ba359661678cb034a42","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Carnobacteriaceae"," Carnobacterium",NA
"d6a526b572996ed919a3e009473bc860","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," "," "," "
"6ba43acb03ae795b3e7e31f2be946006","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Leuconostocaceae"," Leuconostoc"," mesenteroides"
"9e75d15ba3717ca20d8aa45e3c4a6bab","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Leuconostocaceae"," Leuconostoc"," "
"76942be976115ada59d1c82ca2215411","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Leuconostocaceae"," "," "
"9e9c4270966cf507485654eb33a69880","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Leuconostocaceae"," "," "
"84d5ff0afe313753948b623a17764e61","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Aerococcaceae"," "," "
"325c5148d779e56a5ed4f40d5b34aafc","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Aerococcaceae"," "," "
"b9aa22c0f3dd62136a18ea7b26d15a43","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Aerococcaceae"," Facklamia"," "
"f04853e1e1de16fa322ac4c4775a8e84","Bacteria"," Firmicutes"," Bacilli"," Bacillales"," "," "," "
"ae4df9a01f6582c417ac06c1fd0b85f9","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Streptococcaceae"," Lactococcus"," "
"d114fb4c335125128be28401522dd41a","Bacteria"," Firmicutes"," Bacilli"," Lactobacillales"," Streptococcaceae"," Lactococcus"," "
"1faf7413fbed94d7d474302b04f8ab8f","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," [Tissierellaceae]"," Helcococcus"," "
"9025267ef07c34b6cdd64a9c86e4d2ce","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Peptostreptococcaceae"," Filifactor"," "
"f03f4911a0f601d7c72f5bbe9c34a1bc","Bacteria"," Firmicutes"," Bacilli"," Bacillales",NA,NA,NA
"22b3c70cdfb1714224e1bf8a6314bee9","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," [Tissierellaceae]"," Finegoldia"," "
"a71b7639abeb7134a21d2a45b49cd546","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," [Tissierellaceae]"," Finegoldia"," "
"583775d0696770430e17cc8f23c75a93","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," [Tissierellaceae]"," Finegoldia"," "
"dd2859ddb15c608956826394ab61dfe1","Bacteria"," Firmicutes"," Clostridia"," Clostridiales"," Peptococcaceae"," Desulfosporosinus"," meridiei"
"72f38dce1c9918bfdc43478100638fa7","Bacteria"," Chloroflexi"," Anaerolineae"," SBR1031"," A4b"," "," "
"7ee0c69e6718dc3cd6fad2d330310969","Bacteria"," Chloroflexi"," Ktedonobacteria"," Ktedonobacterales"," Ktedonobacteraceae"," "," "
"e3bdd7e3bc3a1370fdc9297bfe1cc5eb","Bacteria"," Chloroflexi"," Ktedonobacteria"," "," "," "," "
"5011a0ea9d7402163345550ceb728e0d","Bacteria"," WPS-2"," "," "," "," "," "
"a2dcbf8bfa43d8a2eb256a7f26cd5b48","Bacteria"," Firmicutes"," Clostridia"," Clostridiales",NA,NA,NA
"17789b897abe5eb8d710dbf134e051a5","Bacteria"," Actinobacteria"," Rubrobacteria"," Rubrobacterales"," Rubrobacteraceae"," Rubrobacter"," "
"5bb95cbfa67a30aaf5990b87578dcf9a","Bacteria"," Actinobacteria"," Acidimicrobiia"," Acidimicrobiales"," "," "," "
"8c77b7c300a924b1a81faea2de5b25a7","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Micromonosporaceae"," Virgisporangium"," ochraceum"
"882f36650d5aca531595b4ad233f6c76","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Frankiaceae"," "," "
"90c9ab785a5a9756f23fa6f12d2af33a","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Micromonosporaceae"," "," "
"d9bad3a36eb799f9f717d7740d5bf819","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Frankiaceae"," Frankia"," "
"f55615b21735bf1b2ea34a95b83450ab","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Tsukamurellaceae"," Tsukamurella"," "
"e1a77cdf90d079c1c1b088a852c31276","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," Dietzia"," "
"a4d8aae6c62a3c909c3b046538ad69d8","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," "," "
"a8161929036d812d8d3cfac7146a7af6","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," "," "
"5126add80046324a9a8b6b91cad1ea77","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," Nocardia"," "
"42e910fd88e430757b665176b882020b","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," "," "
"e507cb6923c571493dd6d873c3dc99b7","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae",NA,NA
"c10a785ff805af6a6b1a669746077627","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," "," "
"705991219eb689585b6b3f51358584ca","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," "," "
"31f71ce5b3e181687916a3ce57c0e880","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," Dietzia"," "
"caa5a6d32b83e35ac5e8e9aa20d073a7","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," "," "
"e437ae9ee8275e1b3b00de0df07fd65b","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," Dietzia"," "
"5502fab5ea28231060c04e16998f9276","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," Dietzia"," "
"bdeb9bce01148846a7a442dac9048360","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Gordoniaceae"," Gordonia"," "
"14a0317cf248034260441d4b1d894eb3","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Gordoniaceae"," Gordonia"," "
"e7423ab55243084eaad5b4b9dc3efe9d","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Gordoniaceae"," Gordonia"," "
"d656c73ed048ac0cacedabe4b3362c80","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Gordoniaceae"," Gordonia"," "
"f980cc578b0dd92074f7e021937ffc87","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dietziaceae"," "," "
"9066e0b3cd4e59fe24caad967dc61973","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," Rhodococcus",NA
"09de3dde6c465b74bcb8e6f8a478e4e0","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," Rhodococcus"," fascians"
"08592222736fff4dfbcb7d3d381567b1","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Nocardiaceae"," Rhodococcus"," "
"146195f72933e590d98b89c38d6eda33","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Geodermatophilaceae",NA,NA
"a1e8fa809b56df27637499c27b93fc46","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Geodermatophilaceae"," Modestobacter"," "
"03e9f6db04a61c4f8a17d2068972f6ac","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Geodermatophilaceae"," Modestobacter"," "
"198a0d72458edf8c66d7b60ec7012726","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Streptomycetaceae"," Streptomyces"," "
"020a94d69ebfddc17d8e0b45d9d140ee","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Streptomycetaceae"," Streptomyces"," "
"c8183367bffb7de1e4c8917a9fc3f6c2","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales",NA,NA,NA
"6bd7cfaff55acae5646df8df0959c841","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Pseudonocardiaceae"," Pseudonocardia"," halophobica"
"0ea285f4cfb12176592474b8ecd0f391","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Pseudonocardiaceae"," Pseudonocardia"," "
"0b5c340759b963996408dd4e1f2dc4c2","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Pseudonocardiaceae"," Pseudonocardia"," "
"1c7a5248b18573f28b2901a63298dbc7","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Pseudonocardiaceae"," Actinomycetospora"," "
"a88c7185aef3702edc0b54f1fd4107df","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Pseudonocardiaceae"," Pseudonocardia"," "
"282dd7867741c58a5b4084ad8dcf416e","Bacteria"," Actinobacteria"," Actinobacteria"," Bifidobacteriales"," Bifidobacteriaceae"," Gardnerella"," "
"a8e53bd66879cd51ecb4e7daf552accb","Bacteria"," Actinobacteria"," Actinobacteria"," Bifidobacteriales"," Bifidobacteriaceae"," Gardnerella"," "
"0ad98b0e64ddc421ea0bb94f2648f507","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dermacoccaceae"," Dermacoccus"," "
"ecfc5812c430a69c403672d746f03ccb","Bacteria"," Actinobacteria"," Actinobacteria"," Actinomycetales"," Dermacoccaceae"," Dermacoccus"," "
